PERIOD_BEGIN	PERIOD_END	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED
2025-08-01	2025-10-31	90	zip code	2	18494	false	Zip Code: 44103		Ohio	OH	All Residential	-1	123500	0.54375	0.8296296296	125000	-0.07407407407	0.4705882353	64.102564103	0.2147435897	0.8502237897	61.739543726	-0.09108889349	0.238953091	31	0.1481481481	0.2916666667	53	0.152173913	0.2045454545	61	0.1509433962	0.1960784314	54	0.35	0.2	NA	NA	NA	28	6	-1.5	0.9390206918	0.02564650238	0.01331417194	0.2903225806	0.1051373955	0.04032258065	NA	NA	NA	0.3962264151	-0.1037735849	-0.08104631218	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2018-03-01	2018-05-31	90	zip code	2	18469	false	Zip Code: 44070		Ohio	OH	All Residential	-1	165000	0.1	0.1236528934	169888	0.00525443787	0.09675919948	98.979591837	0.04258503401	0.1549100584	98.978288633	-0.02383017342	0.05269931787	129	0.2524271845	-0.1041666667	146	-0.01351351351	-0.1843575419	145	0.106870229	-0.2162162162	86	0.02380952381	-0.2950819672	NA	NA	NA	36	-6.5	-7	0.9886357216	0.009366711452	0.003829367506	0.2868217054	0.04410325882	0.02987726098	NA	NA	NA	0.6232876712	0.01517956312	0.05904186118	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2024-01-01	2024-03-31	90	zip code	2	18496	false	Zip Code: 44105		Ohio	OH	All Residential	-1	59900	-0.000834028357	-0.001666666667	75000	0	0.1538461538	46.280991736	0.1130530403	0.1561833208	54.190751445	0.007016798333	0.1258365022	127	0.02419354839	0.2095238095	188	0.06818181818	0.2368421053	168	0.1125827815	0.12	133	-0.007462686567	-0.09523809524	NA	NA	NA	47	-11	-25	0.9309293343	-0.01216837927	0.01865267665	0.1653543307	-0.0604521209	0.02249718785	NA	NA	NA	0.3829787234	0.03638781431	-0.03807390817	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2016-06-01	2016-08-31	90	zip code	2	18534	false	Zip Code: 44143		Ohio	OH	All Residential	-1	172500	-0.05994550409	0.04545454545	160000	-0.04705181656	-0.005902454178	93.520603937	-0.006535223748	0.2029216144	88.991041961	-0.01428188932	-0.0194549044	125	0.08695652174	0.3440860215	137	-0.09868421053	0.3173076923	133	-0.16875	-0.04316546763	172	-0.05494505495	-0.135678392	NA	NA	NA	75	3	-7	0.9556332553	-0.01114318495	0.005486077826	0.12	-0.01043478261	0.03397849462	NA	NA	NA	0.1751824818	-0.05508067614	0.01172094329	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2012-02-01	2012-04-30	90	zip code	2	18518	false	Zip Code: 44127		Ohio	OH	All Residential	-1	5500	-0.12	0.375	17250	-0.1153846154	0.725	4.065454453	0.543316469	0.07356464634	13.592904531	-0.1086299571	0.7734635173	4	1	0.3333333333	4	1	0.3333333333	14	0.07692307692	-0.2631578947	40	0	0.4814814815	NA	NA	NA	72	-74	-12	0.8034544291	0.0403889921	0.07142997372	0	0	0	NA	NA	NA	0	0	0	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2021-08-01	2021-10-31	90	zip code	2	18494	false	Zip Code: 44103		Ohio	OH	All Residential	-1	69250	-0.03819444444	0.5388888889	52250	-0.004761904762	-0.4162011173	37.81349856	-0.09940369842	0.2822827458	31.773166119	-0.04494298378	-0.5414445573	18	0.05882352941	0.2	30	0.1111111111	0.4285714286	42	0.05	0.3548387097	28	-0.1764705882	-0.03448275862	NA	NA	NA	36.5	8.5	3.5	0.9860408791	0.01385466303	0.07975488477	0.3333333333	-0.01960784314	0.2	NA	NA	NA	0.5333333333	-0.02222222222	0.2	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2020-11-01	2021-01-31	90	zip code	2	18503	false	Zip Code: 44112		Ohio	OH	All Residential	-1	61000	0.01666666667	0.7403708987	75000	0.2510425354	0.572327044	40.781648258	0.01138487681	0.8680213238	49.262041538	0.3936720078	0.7114330897	25	-0.3243243243	-0.375	35	-0.1025641026	-0.2391304348	34	-0.1052631579	-0.2272727273	38	0	-0.1914893617	NA	NA	NA	44	2	-27	0.9798299087	0.0184073549	0.05278661459	0.28	0.06378378378	0.105	NA	NA	NA	0.3142857143	-0.1216117216	0.0751552795	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2022-03-01	2022-05-31	90	zip code	2	18434	false	Zip Code: 44017		Ohio	OH	All Residential	-1	195000	0.01298701299	0.07142857143	204950	0.1233214579	0.1078378378	138.163103721	0.03452176185	0.1185137217	141.293971221	0.05453045034	0.1979655584	49	0.1136363636	-0.2686567164	57	0.3571428571	-0.3294117647	60	0.4285714286	-0.3103448276	15	0.25	-0.4642857143	NA	NA	NA	6	-7.5	-7	1.042137085	0.01451306281	0.02344625811	0.7142857143	0.1006493506	0.1620469083	NA	NA	NA	0.8771929825	0.02005012531	0.08895768834	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2025-11-01	2026-01-31	90	zip code	2	18498	false	Zip Code: 44107		Ohio	OH	All Residential	-1	320000	0	0.01587301587	329949.5	-0.02956029412	0.1188521533	184.804411826	-0.03311664492	-0.009448352615	169.644335664	-0.07030540857	0.01909906164	139	-0.1575757576	0.04511278195	117	-0.1875	-0.07142857143	116	-0.2108843537	0.06422018349	97	0	0.3108108108	NA	NA	NA	38.5	11.5	9.5	0.9751231818	-0.009181385577	-0.01757760201	0.2589928058	-0.03797689121	-0.09439065289	NA	NA	NA	0.3504273504	-0.09401709402	-0.1495726496	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2025-07-01	2025-09-30	90	zip code	2	18516	false	Zip Code: 44125		Ohio	OH	All Residential	-1	144000	-0.003460207612	-0.006896551724	149900	0.07071428571	0.0341497068	117.307692308	0.007854821235	-0.01623342175	118.353647765	0.0264919784	0.03709484452	115	0.008771929825	0.1616161616	136	-0.02158273381	0.02255639098	126	0.04132231405	-0.1486486486	83	0	0.02469135802	NA	NA	NA	39	10	14	0.9765330681	-0.004139155985	-0.004626442398	0.3652173913	0.01434019832	-0.01862099253	NA	NA	NA	0.4117647059	0.008887008041	-0.1145510836	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2018-11-01	2019-01-31	90	zip code	2	18508	false	Zip Code: 44117		Ohio	OH	All Residential	-1	80000	-0.0985915493	0.3816925734	79900	0	0.05968169761	50.372472508	-0.1594403268	0.3634149225	64.937759336	0.0008895757829	0.1944838565	21	-0.125	0.2352941176	28	0.03703703704	0.07692307692	21	-0.16	0.05	26	0.04	0.04	NA	NA	NA	58	1.5	-18	0.9566553888	-0.0202360332	-0.01085962709	0.1428571429	-0.02380952381	-0.1512605042	NA	NA	NA	0.1785714286	0.03042328042	0.1016483516	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2012-03-01	2012-05-31	90	zip code	2	18498	false	Zip Code: 44107		Ohio	OH	All Residential	-1	99375	0.09504132231	0.003787878788	109900	0	0	68.063295243	0.09945054552	0.1150014802	75.169683258	0.08589071101	0.09995800188	154	0.1846153846	0.1666666667	153	0.1860465116	0.1679389313	248	0.02057613169	0.0643776824	401	0.02820512821	-0.09887640449	NA	NA	NA	112	-9.5	-27	0.9456136161	0.01482025886	0.01920444333	0.1428571429	0.04285714286	-0.001082251082	NA	NA	NA	0	-0.01550387597	-0.007633587786	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2015-01-01	2015-03-31	90	zip code	2	18511	false	Zip Code: 44120		Ohio	OH	All Residential	-1	58750	-0.2964071856	-0.01260504202	99450	0.989	0.0359375	34.92777413	-0.1746918728	-0.03062771799	59.953251702	0.8756926372	-0.1701042006	66	0.03125	0.2222222222	113	0.8225806452	1.173076923	153	0.275	0.06993006993	225	0.02272727273	-0.04661016949	NA	NA	NA	114	17	11.5	0.9183161861	-0.02188396204	-0.01383259849	0.1212121212	0.01183712121	0.04713804714	NA	NA	NA	0.1415929204	0.1415929204	0.1415929204	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2022-08-01	2022-10-31	90	zip code	2	18520	false	Zip Code: 44129		Ohio	OH	All Residential	-1	175000	-0.03846153846	0.09375	178000	0.01743355244	0.14912847	134.9300362	-0.0005942565847	0.07016384961	135.363636364	0.02474325207	0.1284973963	144	0.08270676692	-0.186440678	140	-0.02777777778	-0.1411042945	135	-0.04929577465	-0.1401273885	51	0.02	-0.08928571429	NA	NA	NA	18	0.5	-2	1.002078921	-0.005292460654	-0.02269713114	0.4791666667	-0.03211152882	-0.1140536723	NA	NA	NA	0.6214285714	0.003373015873	0.007931638913	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2025-06-01	2025-08-31	90	zip code	2	18505	false	Zip Code: 44114		Ohio	OH	All Residential	-1	182500	0.862244898	0.6590909091	427500	0.4252375396	0.2233509801	97.377090556	0.8631483326	1.029869715	197.790548295	0.124296999	0.413749709	6	0.2	5	5	-0.1666666667	1.5	4	-0.4285714286	1	8	-0.2727272727	1.666666667	NA	NA	NA	23.5	0.5	18.5	1.038559215	0.008706018654	0.1924053688	0.3333333333	-0.06666666667	0.3333333333	NA	NA	NA	0.2	-0.3	0.2	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2024-05-01	2024-07-31	90	zip code	2	18513	false	Zip Code: 44122		Ohio	OH	All Residential	-1	365000	0.01388888889	-0.01378005944	395000	0.05333333333	0.08219178082	176.028322858	0.02186369924	0.07105363274	173.540240002	0.05016636664	0.1053532131	132	-0.03649635036	-0.007518796992	142	-0.06578947368	0.1451612903	175	0.0736196319	0.1363636364	95	0.1585365854	0.06741573034	NA	NA	NA	25.5	-0.5	13	1.008879913	-0.002380536071	-0.01099906662	0.446969697	-0.01288431763	-0.01919571656	NA	NA	NA	0.5985915493	0.02622312824	-0.02237619264	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
